EXP_NAME,FILENAME,MEDIA,PRED_ROI,DPG,TRUE_ROI,APE_ROI,USE_PROPHET,CALIBRATION_FACEBOOK,CALIBRATION_TV,CALIBRATION_SEARCH,SEGMENT_NAME
prophet_TRUE_calib_,RobynModel-1_17_4.json,Facebook,2.947,dgp3_1000_3_01,4.036197363921071,0.2698573101645706,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-2_40_7.json,Facebook,3.6774,dgp3_1000_3_01,4.036197363921071,0.08889490071231489,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-1_34_6.json,Facebook,6.3991,dgp3_1000_3_01,4.036197363921071,0.5854279221329813,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-1_44_10.json,Facebook,5.4115,dgp3_1000_3_01,4.036197363921071,0.3407421669645152,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-1_27_15.json,Facebook,1.1234,dgp3_1000_3_01,4.036197363921071,0.7216687147061006,1,0,0,0,0. None
prophet_TRUE_calib_,RobynModel-1_57_12.json,Facebook,4.4774,dgp3_1000_3_01,4.036197363921071,0.10931146232410985,1,0,0,0,0. None
prophet_TRUE_calib_spend_Facebook,RobynModel-2_33_6.json,Facebook,4.2333,dgp3_1000_3_01,4.036197363921071,0.04883374580262067,1,1,0,0,1. Facebook
prophet_TRUE_calib_spend_Facebook,RobynModel-1_44_9.json,Facebook,4.4249,dgp3_1000_3_01,4.036197363921071,0.09630416974984443,1,1,0,0,1. Facebook
prophet_TRUE_calib_spend_Facebook,RobynModel-1_42_15.json,Facebook,4.2691,dgp3_1000_3_01,4.036197363921071,0.057703480548500684,1,1,0,0,1. Facebook
prophet_TRUE_calib_spend_Facebook,RobynModel-1_58_9.json,Facebook,4.3756,dgp3_1000_3_01,4.036197363921071,0.08408970262772485,1,1,0,0,1. Facebook
prophet_TRUE_calib_spend_Facebook,RobynModel-1_45_12.json,Facebook,4.4592,dgp3_1000_3_01,4.036197363921071,0.10480226756503114,1,1,0,0,1. Facebook
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_43_1.json,Facebook,4.6136,dgp3_1000_3_01,4.036197363921071,0.14305609563106106,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_52_15.json,Facebook,4.2622,dgp3_1000_3_01,4.036197363921071,0.05599395066731155,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_55_1.json,Facebook,4.8213,dgp3_1000_3_01,4.036197363921071,0.1945154226343928,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-3_25_2.json,Facebook,3.9468,dgp3_1000_3_01,4.036197363921071,0.022148907959798857,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_35_7.json,Facebook,3.8991,dgp3_1000_3_01,4.036197363921071,0.03396696235584575,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_32_4.json,Facebook,3.4756,dgp3_1000_3_01,4.036197363921071,0.13889245578825302,0,1,1,0,4. Facebook_TV
prophet_FALSE_calib_spend_Facebook_spend_TV,RobynModel-1_42_7.json,Facebook,4.1383,dgp3_1000_3_01,4.036197363921071,0.0252967401920453,0,1,1,0,4. Facebook_TV
prophet_TRUE_calib_spend_TV,RobynModel-1_29_3.json,Facebook,2.4329,dgp3_1000_3_01,4.036197363921071,0.397229674210853,1,0,1,0,2. TV
prophet_TRUE_calib_spend_TV,RobynModel-1_48_9.json,Facebook,3.4983,dgp3_1000_3_01,4.036197363921071,0.13326835023709446,1,0,1,0,2. TV
prophet_TRUE_calib_spend_TV,RobynModel-1_60_5.json,Facebook,3.3172,dgp3_1000_3_01,4.036197363921071,0.17813731566946506,1,0,1,0,2. TV
prophet_TRUE_calib_spend_TV,RobynModel-1_10_4.json,Facebook,2.2777,dgp3_1000_3_01,4.036197363921071,0.43568170863991945,1,0,1,0,2. TV
prophet_FALSE_calib_,RobynModel-1_39_5.json,Facebook,2.8938,dgp3_1000_3_01,4.036197363921071,0.2830380333064928,0,0,0,0,0. None
prophet_FALSE_calib_,RobynModel-1_11_7.json,Facebook,0.4176,dgp3_1000_3_01,4.036197363921071,0.8965362784949863,0,0,0,0,0. None
prophet_FALSE_calib_,RobynModel-1_38_3.json,Facebook,4.414,dgp3_1000_3_01,4.036197363921071,0.09360360805347306,0,0,0,0,0. None
prophet_FALSE_calib_,RobynModel-1_28_11.json,Facebook,2.1173,dgp3_1000_3_01,4.036197363921071,0.4754220844287225,0,0,0,0,0. None
