"campaign_id","channel","noisy_cvr","true_cvr"
1,"Facebook",0.0334623607113933,0.05
1,"TV",0.0308499531605394,0.02
2,"Facebook",0.0493231688291033,0.05
2,"TV",0.0234622712410051,0.02
3,"Facebook",0.042536852646094,0.05
3,"TV",0.0284189791342325,0.02
4,"Facebook",0.0529614810700788,0.05
4,"TV",0.0174314358268111,0.02
5,"Facebook",0.0447095586990431,0.05
5,"TV",0.0247004198460858,0.02
6,"Facebook",0.0337253037612681,0.05
6,"TV",0.0232542438844806,0.02
7,"Facebook",0.0345867974878825,0.05
7,"TV",0.0210815405630549,0.02
8,"Facebook",0.0473811778347201,0.05
8,"TV",0.0222266811001618,0.02
9,"Facebook",0.0510365671183746,0.05
9,"TV",0.0155251952486852,0.02
10,"Facebook",0.047870569327388,0.05
10,"TV",0.0297184169376785,0.02
11,"Facebook",0.0574754321540733,0.05
11,"TV",0.0288305747794562,0.02
12,"Facebook",0.0324451815946077,0.05
12,"TV",0.0320927212880391,0.02
13,"Facebook",0.0477541444113993,0.05
13,"TV",0.0223874472127466,0.02
14,"Facebook",0.0471553673411818,0.05
14,"TV",0.0133391022594686,0.02
15,"Facebook",0.0577376985797456,0.05
15,"TV",0.0250416775103358,0.02
16,"Facebook",0.0516123822641719,0.05
16,"TV",0.0233658525465401,0.02
17,"Facebook",0.0447963851167202,0.05
17,"TV",0.0159337715706906,0.02
18,"Facebook",0.0572515817725076,0.05
18,"TV",0.025584102573797,0.02
19,"Facebook",0.0486352582474698,0.05
19,"TV",0.0186901048256671,0.02
20,"Facebook",0.0514760320248588,0.05
20,"TV",0.0348747745031191,0.02
21,"Facebook",0.057632486756177,0.05
21,"TV",0.0180558997312534,0.02
22,"Facebook",0.032431409842681,0.05
22,"TV",0.00672283594934665,0.02
23,"Facebook",0.0447400542117417,0.05
23,"TV",0.0142239954310513,0.02
24,"Facebook",0.0393213437443649,0.05
24,"TV",0.0165963191624911,0.02
25,"Facebook",0.0487229355489862,0.05
25,"TV",0.0184558450180062,0.02
26,"Facebook",0.0359311691527071,0.05
26,"TV",0.0214360885039378,0.02
27,"Facebook",0.0510436965420704,0.05
27,"TV",0.0140743872800428,0.02
28,"Facebook",0.042788564321368,0.05
28,"TV",0.0164247917263043,0.02
29,"Facebook",0.0497594445981427,0.05
29,"TV",0.0129665576219794,0.02
30,"Facebook",0.0597319335656906,0.05
30,"TV",0.00870703883406521,0.02
31,"Facebook",0.0406853383054826,0.05
31,"TV",0.0226620864876624,0.02
32,"Facebook",0.0313404158458409,0.05
32,"TV",0.0292888039824412,0.02
33,"Facebook",0.0486380227761386,0.05
33,"TV",0.00721784554260509,0.02
34,"Facebook",0.0455622909979791,0.05
34,"TV",0.0113189646216448,0.02
35,"Facebook",0.0517096918957775,0.05
35,"TV",0.0097921851543404,0.02
36,"Facebook",0.0388002913667117,0.05
36,"TV",0.0289129257896199,0.02
37,"Facebook",0.0420733691872781,0.05
37,"TV",0.0243460903680354,0.02
38,"Facebook",0.0438935902806454,0.05
38,"TV",0.0223312543531635,0.02
39,"Facebook",0.0520377176692045,0.05
39,"TV",0.0170443046357347,0.02
40,"Facebook",0.0459465617018049,0.05
40,"TV",0.0198990986221072,0.02
41,"Facebook",0.0553135595743961,0.05
41,"TV",0.00539838980126428,0.02
42,"Facebook",0.045099414576794,0.05
42,"TV",0.0113066407066686,0.02
43,"Facebook",0.0509871645470646,0.05
43,"TV",0.0163333968396573,0.02
44,"Facebook",0.0587279315097239,0.05
44,"TV",0.0114505363670976,0.02
45,"Facebook",0.0590018192915224,0.05
45,"TV",0.0334856316299292,0.02
46,"Facebook",0.060149416331102,0.05
46,"TV",0.0221970960349358,0.02
47,"Facebook",0.0376751166236591,0.05
47,"TV",0.029384982945626,0.02
48,"Facebook",0.0454233463795189,0.05
48,"TV",0.0210644461505518,0.02
49,"Facebook",0.0462507107291505,0.05
49,"TV",0.0152428999504044,0.02
50,"Facebook",0.0460836864434225,0.05
50,"TV",0.0255264189852085,0.02
